,Symbol,Security,GICS Sector,Headquarters Location
410,CRM,Salesforce,Information Technology,"San Francisco, California"
411,SBAC,SBA Communications,Real Estate,"Boca Raton, Florida"
412,SLB,Schlumberger,Energy,"Curaçao, Kingdom of the Netherlands"
413,STX,Seagate Technology,Information Technology,"Dublin, Ireland"
414,SEE,Sealed Air,Materials,"Charlotte, North Carolina"
415,SRE,Sempra Energy,Utilities,"San Diego, California"
416,NOW,ServiceNow,Information Technology,"Santa Clara, California"
417,SHW,Sherwin-Williams,Materials,"Cleveland, Ohio"
418,SPG,Simon Property Group,Real Estate,"Indianapolis, Indiana"
419,SWKS,Skyworks Solutions,Information Technology,"Woburn, Massachusetts"
420,SNA,Snap-on,Industrials,"Kenosha, Wisconsin"
421,SO,Southern Company,Utilities,"Atlanta, Georgia"
422,LUV,Southwest Airlines,Industrials,"Dallas, Texas"
423,SWK,Stanley Black & Decker,Industrials,"New Britain, Connecticut"
424,SBUX,Starbucks,Consumer Discretionary,"Seattle, Washington"
425,STT,State Street Corporation,Financials,"Boston, Massachusetts"
426,STE,Steris,Health Care,"Dublin, Ireland"
427,SYK,Stryker Corporation,Health Care,"Kalamazoo, Michigan"
428,SIVB,SVB Financial,Financials,"Santa Clara, California"
429,SYF,Synchrony Financial,Financials,"Stamford, Connecticut"
430,SNPS,Synopsys,Information Technology,"Mountain View, California"
431,SYY,Sysco,Consumer Staples,"Houston, Texas"
432,TMUS,T-Mobile US,Communication Services,"Bellevue, Washington"
433,TROW,T. Rowe Price,Financials,"Baltimore, Maryland"
434,TTWO,Take-Two Interactive,Communication Services,"New York City, New York"
435,TPR,Tapestry,Consumer Discretionary,"New York City, New York"
436,TGT,Target,Consumer Discretionary,"Minneapolis, Minnesota"
437,TEL,TE Connectivity,Information Technology,"Schaffhausen, Switzerland"
438,TDY,Teledyne Technologies,Industrials,"Thousand Oaks, California"
